Sex,Length,Diameter,Height,Whole_Weight,Older_12
M,0.62,0.49,0.17,NA,NA
I,0.325,0.25,0.055,0.166,0
I,0.455,0.355,0.08,0.452,0
M,0.525,0.405,0.13,0.7185,0
I,0.385,0.29,0.09,0.232,0
I,0.13,0.095,0.035,0.0105,0
I,0.18,0.13,0.045,0.0275,0
I,0.31,0.225,0.05,0.1445,0
F,0.375,NA,0.08,NA,0
F,0.48,0.38,0.12,0.608,0
I,0.455,0.37,0.125,0.433,0
M,0.425,0.325,0.1,0.3295,0
I,0.475,0.36,0.11,0.4555,0
F,0.435,0.35,0.12,0.4585,1
F,0.29,0.21,0.075,0.275,0
M,0.385,0.295,0.095,0.335,0
M,0.47,NA,0.115,NA,0
F,0.5,NA,0.125,NA,0
I,0.4,0.31,0.1,0.127,0
M,0.62,0.51,0.175,1.1505,1
M,0.595,0.47,0.15,0.8915,1
M,0.585,0.455,0.14,0.97,0
M,0.32,0.24,0.08,0.18,0
F,0.52,0.41,0.125,NA,NA
M,0.44,0.35,0.11,0.4585,0
F,0.44,0.33,0.115,0.4005,0
M,0.565,0.425,0.1,0.7145,1
F,0.56,0.425,0.125,NA,NA
F,NA,NA,0.175,0.966,0
F,0.57,0.465,0.18,0.9995,1
NA,0.68,0.53,0.205,NA,1
NA,NA,NA,0.125,NA,NA
I,0.32,0.24,0.075,0.1735,0
I,0.46,0.35,0.11,0.3945,0
M,0.47,0.37,0.105,0.4665,0
M,0.455,0.35,0.105,0.401,0
F,0.415,0.325,0.115,0.3455,0
M,NA,NA,0.12,0.5205,1
NA,NA,NA,0.135,NA,NA
M,0.415,0.31,0.09,0.3245,0
M,0.27,0.195,0.07,0.106,0
M,NA,NA,0.11,0.4415,0
F,NA,0.585,NA,1.966,NA
F,0.4,0.3,0.115,0.3025,0
I,0.28,0.2,0.075,0.1225,0
M,0.55,0.44,0.135,0.879,0
M,NA,NA,0.165,1.2275,1
M,0.61,NA,0.165,NA,1
M,0.62,NA,0.175,NA,1
M,NA,0.42,NA,0.8085,NA
F,0.64,NA,0.2,NA,1
NA,0.69,0.55,0.2,NA,1
F,0.715,0.565,0.24,2.1995,1
NA,0.71,0.565,0.195,NA,1
F,0.55,0.47,0.15,0.897,0
M,0.375,0.305,0.09,0.3245,0
F,0.61,0.45,0.16,1.136,0
I,NA,0.28,NA,0.2735,NA
F,0.37,0.275,0.085,0.2405,0
M,0.335,0.235,0.085,0.1545,0
I,0.165,0.115,0.015,0.0145,0
M,0.285,0.21,0.075,0.1185,0
I,0.19,0.13,0.03,0.0295,0
I,0.215,0.15,0.03,0.0385,0
M,NA,NA,0.125,0.799,0
F,0.645,NA,0.17,1.1845,NA
NA,NA,NA,0.185,NA,NA
F,0.57,0.45,0.17,1.098,1
F,0.58,NA,0.235,1.071,NA
NA,0.595,0.48,0.2,NA,1
F,0.595,0.47,0.25,1.283,1
NA,NA,0.42,NA,NA,1
M,0.535,NA,0.165,NA,1
M,0.55,0.43,0.16,0.9295,1
M,0.495,0.4,0.155,0.8085,0
I,0.32,NA,0.08,0.1485,NA
M,0.445,0.34,0.12,0.4475,0
NA,NA,0.4,NA,NA,0
M,NA,0.385,NA,0.6335,NA
NA,NA,0.37,NA,NA,1
F,0.49,0.37,0.14,0.585,0
NA,NA,0.47,NA,NA,1
M,0.645,0.495,0.185,1.4935,1
F,0.575,NA,0.165,NA,1
I,0.215,0.17,0.055,0.0605,0
I,0.43,0.325,0.11,0.3675,1
I,0.26,0.215,0.08,0.099,0
I,0.37,NA,0.09,NA,1
I,0.405,0.305,0.105,0.3625,0
I,0.27,0.19,0.08,0.081,0
F,0.68,0.55,0.2,NA,NA
F,NA,NA,0.195,1.4005,1
NA,0.645,0.49,0.215,NA,1
NA,NA,NA,0.16,NA,NA
NA,NA,0.48,NA,NA,1
M,0.42,0.345,0.105,0.43,0
I,0.275,0.22,0.08,NA,NA
F,NA,0.225,NA,0.14,NA
M,0.42,0.34,0.115,0.4215,0
F,0.625,NA,0.215,1.5765,NA
F,NA,NA,0.18,1.2125,1
M,0.66,0.505,0.2,1.6305,1
M,0.565,0.47,0.195,1.142,1
NA,NA,0.495,NA,NA,1
NA,NA,NA,0.23,NA,NA
F,0.43,0.325,0.12,0.445,0
F,0.455,0.35,0.14,0.5725,0
I,0.33,0.26,0.08,0.19,0
F,0.515,0.415,0.13,0.764,1
M,0.495,0.39,0.15,0.853,1
F,0.485,NA,0.145,0.5885,NA
F,0.535,0.46,0.145,0.7875,0
M,0.58,0.465,0.175,1.035,1
NA,0.625,0.525,0.195,NA,1
F,0.555,NA,0.18,NA,1
NA,NA,NA,0.145,NA,NA
NA,0.59,0.475,0.155,NA,1
I,0.355,0.28,0.11,0.2235,0
I,0.275,0.2,0.075,0.086,0
NA,NA,NA,0.175,NA,NA
M,0.37,0.28,0.095,0.2225,0
NA,NA,NA,0.165,NA,NA
F,0.505,NA,0.165,NA,0
F,0.56,0.445,0.18,NA,NA
M,0.595,NA,0.17,1.0965,NA
F,0.57,0.45,0.165,0.903,1
M,0.6,0.48,0.175,1.229,1
NA,0.56,0.435,0.185,NA,1
M,0.585,0.465,0.19,NA,NA
I,0.46,0.335,0.11,0.444,0
F,0.46,0.36,0.115,0.4755,0
M,NA,NA,0.125,0.388,1
NA,NA,0.32,NA,NA,1
F,0.475,NA,0.135,NA,0
M,0.465,0.36,0.13,0.5265,0
I,0.355,0.28,0.1,0.2275,1
M,0.46,0.375,0.14,0.5105,0
F,0.38,0.325,0.11,0.3105,0
F,0.47,0.365,0.12,0.543,0
M,0.36,0.27,0.09,0.2225,0
F,NA,NA,0.165,0.998,1
M,0.655,0.59,0.2,1.5455,1
M,NA,NA,0.175,1.2675,1
F,0.57,0.46,0.17,1.1,1
F,0.645,0.5,0.2,1.4285,1
NA,0.65,0.495,0.18,NA,1
NA,NA,NA,0.145,NA,NA
M,0.52,NA,0.135,0.5825,NA
M,0.495,0.415,0.165,0.7485,1
M,0.43,NA,0.115,NA,0
F,0.59,NA,0.16,1.1005,NA
NA,0.55,0.46,0.175,NA,0
M,0.585,0.43,0.16,0.955,1
F,0.58,0.455,0.16,0.9215,1
NA,0.62,0.51,0.15,NA,1
I,0.59,0.45,0.16,0.893,1
NA,NA,0.575,NA,NA,1
F,0.635,0.51,0.175,1.2125,1
NA,NA,NA,0.175,NA,NA
F,0.545,0.445,0.175,0.8525,1
NA,0.57,0.45,0.16,NA,1
F,0.6,0.475,0.18,1.162,1
F,0.52,0.41,0.17,0.8705,1
M,0.635,0.51,0.21,1.598,1
F,0.67,NA,0.15,NA,1
NA,NA,NA,0.2,NA,NA
M,0.655,0.525,0.185,1.259,1
NA,NA,0.48,NA,NA,1
F,0.6,NA,0.18,NA,1
M,0.51,NA,0.13,NA,0
M,0.525,0.405,0.135,0.7575,0
M,NA,0.375,NA,0.487,NA
I,0.485,0.415,0.14,0.5705,0
NA,NA,NA,0.13,NA,NA
I,0.435,0.345,0.12,0.4475,0
I,0.405,0.315,0.105,0.347,0
I,NA,NA,0.1,0.352,0
F,0.5,NA,0.15,0.7145,NA
F,0.385,0.305,0.105,0.3315,0
I,0.33,0.265,0.09,0.18,0
F,0.58,NA,0.155,0.974,NA
NA,NA,NA,0.1,NA,NA
NA,NA,0.375,NA,NA,0
F,NA,0.3,NA,0.3215,NA
I,0.34,0.26,0.09,0.179,0
M,NA,NA,0.12,0.702,1
F,0.52,0.415,0.145,0.8045,0
NA,0.535,0.45,0.135,NA,1
M,0.475,NA,0.12,0.578,NA
I,0.415,0.325,0.1,0.385,0
I,0.495,0.385,0.125,0.585,0
NA,NA,NA,0.13,NA,NA
F,0.52,0.425,0.15,0.813,0
M,0.46,NA,0.13,0.5735,NA
F,NA,0.455,NA,0.94,NA
NA,NA,NA,0.135,NA,NA
F,NA,NA,0.135,0.775,1
F,0.65,0.5,0.165,1.1445,1
F,0.465,0.375,0.135,0.6,1
M,0.455,NA,0.13,NA,1
M,0.47,0.375,0.13,0.5795,1
F,0.435,NA,0.11,0.384,NA
M,0.35,0.265,0.11,0.2965,0
I,0.315,NA,0.07,0.137,NA
M,0.595,NA,0.145,NA,1
F,0.58,0.475,0.135,0.925,1
M,NA,NA,0.15,0.805,1
M,0.535,0.435,0.155,0.8915,1
M,0.515,NA,0.14,0.769,NA
F,0.505,0.385,0.135,0.6185,1
NA,NA,0.395,NA,NA,1
I,0.4,0.31,0.1,0.2875,0
NA,NA,0.395,NA,NA,1
M,NA,NA,0.135,0.7365,1
I,0.395,NA,0.105,0.306,NA
NA,NA,0.535,NA,NA,1
F,0.415,0.305,0.105,0.3605,0
NA,NA,NA,0.115,NA,NA
M,0.475,0.395,0.135,NA,NA
F,0.525,0.425,0.145,0.7995,1
I,0.48,0.39,0.145,0.5825,1
I,0.42,0.345,0.115,0.3435,0
M,0.59,0.46,0.155,0.906,1
NA,NA,0.42,NA,NA,0
M,0.695,0.55,0.22,NA,NA
F,0.8,0.63,0.195,2.526,1
M,NA,NA,0.15,1.103,1
NA,NA,NA,0.175,NA,NA
M,0.56,NA,0.165,0.86,NA
M,NA,NA,0.195,1.62,1
NA,NA,0.52,NA,NA,1
F,0.59,NA,0.17,NA,1
I,0.31,0.24,0.09,0.1455,0
I,0.255,0.185,0.07,0.075,0
I,0.17,0.125,0.055,0.0235,0
M,0.67,0.55,0.17,1.247,1
NA,NA,0.565,NA,NA,1
NA,0.56,0.43,0.125,NA,1
M,0.505,0.4,0.13,NA,NA
M,0.525,0.43,0.165,NA,NA
F,0.45,0.36,0.105,0.4715,0
F,NA,NA,0.17,0.631,1
NA,0.59,0.475,0.16,NA,1
M,0.7,0.53,0.19,1.3185,1
F,0.72,NA,0.175,1.7265,NA
M,0.635,0.495,0.15,NA,NA
M,0.555,0.44,0.135,0.9025,1
M,0.575,NA,0.15,NA,1
M,0.585,NA,0.125,1.027,NA
F,0.61,NA,0.21,1.3445,NA
F,0.645,0.525,0.2,1.449,1
F,0.545,0.44,0.175,NA,NA
M,0.55,0.45,0.155,NA,NA
NA,NA,NA,0.205,NA,NA
M,NA,NA,0.195,1.0295,1
NA,NA,0.47,NA,NA,1
NA,0.63,0.505,0.165,NA,1
M,NA,NA,0.23,1.885,1
M,0.65,0.545,0.16,1.2425,1
NA,NA,NA,0.225,NA,NA
I,NA,0.44,NA,0.9445,NA
I,0.42,0.325,0.115,0.354,0
M,0.18,0.125,0.05,0.023,0
F,0.405,0.325,0.11,0.3575,1
NA,NA,0.405,NA,NA,1
I,0.435,0.335,0.11,0.383,1
M,0.34,0.275,0.09,0.2065,0
F,0.43,0.34,0.11,0.382,0
I,0.535,0.41,0.155,0.6315,1
I,0.415,0.325,0.115,0.3285,1
F,NA,NA,0.09,0.2165,0
M,0.175,0.135,0.04,0.0305,0
M,0.155,0.115,0.025,0.024,0
NA,NA,0.43,NA,NA,1
NA,NA,NA,0.135,NA,NA
F,0.44,0.345,0.105,0.4285,1
F,0.45,0.345,0.115,0.496,1
F,0.485,0.365,0.14,0.6195,1
I,0.47,NA,0.135,0.567,NA
I,0.515,0.375,0.14,0.6505,0
M,0.42,0.34,0.125,0.4495,1
F,0.455,0.35,0.125,0.4485,1
M,0.37,0.29,0.09,0.241,0
M,0.33,0.25,0.09,0.197,0
I,0.3,0.22,0.09,0.1425,0
I,0.625,NA,0.16,1.2395,NA
I,NA,0.475,NA,1.0385,NA
NA,NA,NA,0.155,NA,NA
I,0.635,NA,0.19,1.3315,NA
I,0.5,0.385,0.155,NA,NA
NA,NA,NA,0.17,NA,NA
I,0.445,0.33,0.1,0.437,1
F,0.585,0.415,0.155,0.6985,1
NA,NA,NA,0.165,NA,NA
M,0.29,0.225,0.08,0.1295,0
I,0.555,0.455,0.17,0.8435,1
I,NA,0.515,NA,1.25,NA
F,0.58,0.46,0.185,1.017,0
I,NA,NA,0.175,1.411,1
I,0.62,NA,0.17,NA,1
F,0.64,NA,0.15,1.0705,NA
NA,0.505,0.375,0.115,NA,0
I,0.5,0.395,0.12,0.537,0
M,NA,NA,0.095,0.15,0
F,0.505,NA,0.145,NA,1
I,0.42,0.305,0.11,0.28,0
M,0.4,NA,0.105,NA,0
M,NA,NA,0.125,0.3525,1
M,0.31,0.235,0.06,0.12,1
NA,NA,0.35,NA,NA,1
F,0.465,0.36,0.12,0.4765,0
M,0.35,NA,0.085,NA,1
I,0.52,NA,0.16,0.595,NA
NA,0.475,0.365,0.13,NA,1
F,0.41,0.315,0.11,0.321,0
M,0.26,0.2,0.065,0.096,0
I,0.575,0.45,0.17,NA,NA
I,0.565,NA,0.155,0.782,NA
M,0.26,NA,0.075,0.0945,NA
NA,0.53,0.385,0.125,NA,0
M,0.34,0.255,0.095,0.213,0
I,0.52,NA,0.14,0.525,NA
F,NA,0.5,NA,1.312,NA
NA,NA,NA,0.165,NA,NA
F,0.66,0.515,0.18,1.523,1
I,0.635,0.5,0.18,1.319,1
NA,0.465,0.38,0.135,NA,1
NA,NA,NA,0.16,NA,NA
I,0.335,0.24,0.095,0.17,0
NA,0.515,0.4,0.17,NA,1
F,0.345,0.255,0.1,0.197,0
M,0.465,0.355,0.125,0.5255,1
NA,NA,0.415,NA,NA,0
M,0.475,0.355,0.125,0.4625,0
F,0.445,NA,0.14,0.4565,NA
NA,0.5,0.355,0.14,NA,0
M,0.5,0.38,0.135,0.5835,1
F,0.55,0.435,0.17,0.884,1
I,0.275,0.205,0.08,0.096,0
F,0.35,0.265,0.09,0.1855,0
F,0.37,0.285,0.105,0.27,0
F,0.42,0.33,0.125,0.463,0
M,0.35,0.26,0.09,0.198,0
NA,NA,NA,0.105,NA,NA
NA,0.325,0.2,0.08,NA,0
I,0.275,0.2,0.065,0.092,0
I,0.235,0.17,0.065,0.0625,0
I,0.25,0.18,0.06,0.073,0
I,0.25,0.185,0.065,0.071,0
I,0.2,0.145,0.05,0.036,0
NA,NA,0.47,NA,NA,1
M,0.445,0.35,0.14,0.5905,1
NA,0.5,0.385,0.13,NA,1
M,0.44,0.325,0.08,0.413,0
NA,0.515,0.405,0.14,NA,1
F,0.52,0.405,0.14,0.6915,1
M,0.5,NA,0.13,0.709,NA
M,0.425,NA,0.12,NA,0
M,0.51,0.415,0.14,0.8185,1
NA,NA,NA,0.08,NA,NA
M,0.54,NA,0.13,0.8245,NA
M,0.615,0.475,0.17,1.1825,1
NA,0.565,0.44,0.175,NA,1
NA,NA,0.515,NA,NA,1
F,0.615,0.47,0.175,1.2985,1
NA,0.605,0.49,0.145,NA,1
NA,NA,0.455,NA,NA,1
M,0.645,NA,0.155,1.489,NA
M,NA,NA,0.155,1.008,1
NA,NA,0.355,NA,NA,0
F,0.5,0.44,0.155,0.742,1
F,0.52,0.425,0.145,0.7,1
M,0.39,0.285,0.095,0.271,0
M,0.52,0.4,0.165,0.8565,1
F,NA,0.415,NA,0.8975,NA
NA,0.46,0.36,0.135,NA,1
I,0.355,0.26,0.09,0.1925,0
F,0.49,NA,0.145,NA,1
F,0.63,0.51,0.185,1.235,1
M,0.5,0.385,0.145,0.7615,1
M,NA,0.39,NA,0.592,NA
M,0.44,0.325,0.115,0.39,0
F,0.515,0.395,0.165,0.7565,0
F,0.475,0.38,0.145,0.57,1
NA,NA,0.31,NA,NA,0
M,0.4,0.305,0.13,0.2935,0
M,0.45,0.36,0.16,NA,NA
F,0.52,0.4,0.13,0.6245,1
M,0.505,0.4,0.155,0.8415,1
NA,NA,0.4,NA,NA,1
M,NA,NA,0.145,0.989,1
NA,NA,NA,0.125,NA,NA
F,0.33,0.26,0.08,0.2,0
I,0.285,0.21,0.07,0.109,0
I,0.3,0.23,0.075,0.127,0
I,0.31,NA,0.105,NA,0
I,0.34,0.255,0.075,0.18,0
NA,0.375,0.3,0.075,NA,0
I,0.415,0.325,0.1,0.4665,0
I,0.415,0.315,0.105,NA,NA
I,0.415,0.315,0.09,0.3625,0
I,0.42,0.32,0.1,0.34,0
I,0.425,0.31,0.105,0.365,0
M,NA,0.375,NA,0.5,NA
F,0.465,0.35,0.135,0.6265,0
I,0.47,NA,0.11,0.5555,NA
F,0.47,0.375,0.12,0.6015,0
I,0.475,0.365,0.12,0.53,0
M,NA,NA,0.135,0.6315,0
M,0.5,0.4,0.13,NA,NA
I,0.505,0.39,0.185,0.6125,0
NA,NA,NA,0.19,NA,NA
M,0.54,NA,0.12,0.8115,NA
M,0.545,NA,0.15,NA,1
F,0.565,0.44,0.15,0.983,0
M,NA,0.46,NA,1.145,NA
NA,0.59,0.455,0.16,NA,0
M,NA,0.48,NA,1.262,NA
M,0.595,0.49,0.185,NA,NA
F,0.6,0.475,0.135,1.4405,0
NA,NA,0.5,NA,NA,0
NA,0.6,0.485,0.165,NA,0
M,0.605,NA,0.175,NA,0
F,0.625,0.49,0.155,1.33,0
M,NA,0.5,NA,1.362,NA
NA,NA,0.585,NA,NA,1
F,0.64,0.5,0.18,1.4995,1
NA,0.655,0.545,0.165,NA,1
I,NA,0.525,NA,1.786,NA
M,0.66,NA,0.2,NA,1
F,NA,0.555,NA,1.925,NA
F,0.675,0.55,0.175,1.689,1
F,0.69,0.55,0.18,1.659,0
F,0.695,NA,0.2,NA,1
NA,NA,0.525,NA,NA,0
F,0.73,NA,0.165,2.0165,NA
I,0.205,0.15,0.065,0.04,0
I,0.225,0.17,0.07,0.0565,0
I,0.23,0.18,0.05,0.064,0
I,0.275,0.195,0.07,0.0875,0
I,0.28,0.21,0.055,0.106,0
I,0.28,0.22,0.08,0.1315,0
I,0.295,0.22,0.07,0.126,0
I,NA,NA,0.075,0.155,0
NA,NA,NA,0.07,NA,NA
I,0.34,0.265,0.07,0.185,0
I,0.37,0.29,0.08,0.2545,0
I,0.38,0.285,0.085,NA,NA
I,0.39,NA,0.1,0.279,NA
I,0.405,NA,0.065,0.3205,NA
NA,NA,0.325,NA,NA,0
NA,NA,NA,0.11,NA,NA
I,0.44,0.345,0.115,0.545,0
I,0.44,0.325,0.1,0.4165,0
I,NA,0.355,NA,0.495,NA
I,0.45,0.35,0.125,0.4775,0
I,0.45,0.35,0.12,0.468,0
F,0.455,0.35,0.12,0.4555,0
NA,NA,0.35,NA,NA,0
I,0.46,0.345,0.12,0.4155,0
I,0.46,0.345,0.115,0.4215,0
NA,NA,NA,0.11,NA,NA
M,0.465,0.34,0.105,0.486,0
NA,0.475,0.385,0.11,NA,0
I,0.475,0.355,0.105,0.468,0
M,0.48,0.37,0.1,0.5135,0
M,0.5,0.375,0.145,0.6215,0
I,0.5,0.38,0.11,NA,NA
I,0.505,0.385,0.12,0.6005,0
M,0.515,NA,0.12,NA,0
M,0.525,NA,0.135,NA,0
M,0.525,0.425,0.125,0.812,0
F,0.53,0.42,0.17,0.828,0
M,NA,0.41,NA,0.681,NA
F,0.53,0.405,0.15,0.889,0
M,0.54,0.435,0.14,0.7345,0
F,0.55,0.425,0.125,0.964,0
F,NA,NA,0.14,0.963,0
F,0.57,0.445,0.15,0.995,0
F,0.57,0.435,0.14,0.8585,0
NA,NA,0.45,NA,NA,0
F,0.58,0.445,0.145,0.888,0
F,0.585,0.45,0.16,0.9045,0
NA,NA,NA,0.14,NA,NA
F,0.595,0.47,0.155,1.1775,0
NA,0.595,0.465,0.15,NA,0
F,0.595,NA,0.15,1.0255,NA
F,0.6,0.46,0.145,0.9325,0
NA,NA,NA,0.15,NA,NA
NA,0.6,0.46,0.15,NA,0
M,0.61,NA,0.15,NA,0
F,0.615,0.485,0.16,1.1575,0
NA,NA,0.5,NA,NA,0
M,0.615,NA,0.155,NA,0
NA,0.62,0.51,0.175,NA,0
NA,0.62,0.485,0.175,NA,0
F,0.62,0.475,0.16,1.3245,0
M,0.625,0.48,0.17,NA,NA
F,0.625,0.49,0.165,1.127,0
NA,NA,0.49,NA,NA,0
F,0.63,NA,0.2,NA,1
F,0.63,0.495,0.145,1.147,0
NA,NA,0.48,NA,NA,0
NA,NA,0.495,NA,NA,1
NA,0.635,0.495,0.195,NA,1
M,0.645,NA,0.16,NA,0
M,0.645,NA,0.175,NA,1
F,0.65,0.5,0.185,1.4415,0
M,0.67,0.52,0.19,NA,NA
NA,0.69,0.545,0.205,NA,1
M,NA,0.54,NA,1.71,NA
F,0.695,0.55,0.155,1.8495,0
M,0.695,0.525,0.175,1.742,1
F,NA,0.575,NA,1.7975,NA
F,0.705,0.56,0.205,2.381,0
M,0.765,0.585,0.18,NA,NA
M,NA,0.6,NA,2.1945,NA
I,0.22,0.16,0.05,0.049,0
I,0.275,0.205,0.07,0.1055,0
I,0.29,NA,0.06,NA,0
I,0.33,0.24,0.075,0.163,0
NA,NA,0.285,NA,NA,0
I,0.375,0.29,0.1,0.219,0
I,0.415,0.315,0.1,0.3645,0
I,0.425,0.33,0.115,0.3265,0
I,0.425,0.34,0.1,0.3515,0
I,0.43,0.32,0.1,0.3465,0
I,0.44,0.34,0.1,0.407,0
I,0.44,0.335,0.115,0.4215,0
I,0.46,0.345,0.11,0.3755,0
I,0.46,0.37,0.12,0.5335,0
I,0.465,0.355,0.105,0.442,0
I,0.475,0.365,0.1,0.1315,0
NA,NA,NA,0.115,NA,NA
I,0.485,0.375,0.13,0.5535,0
I,0.49,0.375,0.125,0.5445,0
M,0.49,0.38,0.11,0.554,0
I,NA,0.38,NA,0.512,NA
I,NA,NA,0.125,0.583,0
M,0.5,0.38,0.12,0.5765,0
M,0.505,0.4,0.135,0.723,0
I,0.51,0.395,0.155,0.5395,0
I,0.51,0.385,0.15,0.625,0
I,0.515,0.4,0.125,0.5925,0
I,0.52,0.395,0.135,0.633,0
NA,0.545,0.43,0.14,NA,0
M,0.545,0.42,0.145,NA,NA
M,0.545,NA,0.12,0.7865,NA
F,NA,0.4,NA,0.778,NA
I,NA,0.42,NA,0.636,NA
F,NA,NA,0.135,0.8435,0
I,0.555,NA,0.13,NA,0
M,NA,NA,0.13,0.784,0
F,0.57,0.45,0.18,0.908,0
M,0.57,0.45,0.135,1.02,0
NA,NA,0.43,NA,NA,0
F,0.575,NA,0.15,0.897,NA
M,0.58,0.455,0.13,0.852,0
F,0.585,0.45,0.15,0.938,0
F,0.585,0.435,0.14,0.6955,0
M,0.59,0.47,0.15,0.861,0
M,0.59,NA,0.14,1.004,NA
F,0.59,0.46,0.16,1.0115,0
F,0.595,NA,0.15,NA,0
M,0.595,0.47,0.165,1.108,0
M,0.595,0.46,0.14,0.852,0
NA,NA,NA,0.21,NA,NA
F,0.605,0.48,0.15,1.079,0
F,0.615,0.475,0.17,1.055,0
M,0.615,0.45,0.15,1.198,0
NA,NA,NA,0.155,NA,NA
M,0.615,0.475,0.175,NA,NA
NA,0.62,0.49,0.155,NA,0
M,0.62,0.48,0.15,1.1015,0
M,0.625,0.495,0.185,1.3835,1
NA,NA,NA,0.155,NA,NA
M,0.625,0.48,0.145,1.085,0
M,0.63,0.505,0.15,NA,NA
M,0.63,NA,0.175,1.3415,NA
M,0.63,0.465,0.15,1.027,0
M,0.645,0.515,0.16,1.1845,0
NA,0.645,0.48,0.15,NA,0
F,NA,0.52,NA,1.285,NA
M,0.65,NA,0.125,NA,0
NA,NA,0.52,NA,NA,0
F,0.65,0.535,0.175,1.2895,0
M,0.65,0.51,0.155,NA,NA
F,0.65,NA,0.155,1.122,NA
NA,NA,0.515,NA,NA,0
F,0.665,0.505,0.165,1.349,0
M,0.67,0.5,0.2,1.269,1
M,0.67,NA,0.18,1.68,NA
F,0.675,0.55,0.19,1.551,1
NA,0.68,0.52,0.165,NA,1
M,NA,0.53,NA,1.529,NA
NA,0.7,0.525,0.175,NA,0
M,0.7,0.55,0.2,NA,NA
F,NA,0.53,NA,1.7315,NA
M,0.725,0.55,0.2,1.51,0
M,0.735,NA,0.175,1.88,NA
F,0.74,0.575,0.22,2.012,1
NA,NA,0.555,NA,NA,1
I,0.19,0.14,0.03,0.0315,0
I,0.21,0.15,0.045,0.04,0
I,0.25,0.175,0.06,0.0635,0
I,0.29,0.215,0.065,0.0985,0
I,0.335,0.25,0.08,0.167,0
I,0.34,0.245,0.085,0.2015,0
I,0.345,0.255,0.095,0.183,0
I,0.355,0.255,0.08,0.187,0
NA,NA,0.26,NA,NA,0
I,0.37,0.275,0.09,0.2065,0
I,0.375,0.29,0.14,0.3,0
I,0.375,0.275,0.095,0.2295,0
I,0.385,0.3,0.125,0.343,0
I,0.385,0.285,0.085,0.244,0
I,0.395,0.32,0.1,0.3075,0
I,0.4,0.305,0.1,0.3415,0
NA,0.405,0.305,0.1,NA,0
I,NA,0.31,NA,0.91,NA
I,0.405,0.305,0.1,0.268,0
I,0.405,0.3,0.09,0.2885,0
I,0.41,0.315,0.1,0.3,0
I,NA,0.325,NA,0.326,NA
I,0.415,0.335,0.1,0.358,0
I,0.42,0.325,0.115,0.314,0
I,0.42,0.315,0.11,0.4025,0
I,0.43,0.34,0.11,0.3645,0
I,0.445,0.36,0.11,0.4235,0
M,0.45,0.325,0.115,0.4305,0
I,0.45,0.335,0.095,0.3505,0
I,0.455,0.34,0.115,0.486,0
I,0.46,0.35,0.1,0.471,0
I,NA,0.345,NA,0.415,NA
I,0.475,0.355,0.115,0.5195,0
M,0.48,0.375,0.12,0.5895,1
I,0.485,0.38,0.125,0.5215,0
I,0.485,0.365,0.14,0.4475,0
I,0.49,0.365,0.125,0.5585,0
NA,0.505,0.385,0.125,NA,0
I,0.505,NA,0.135,NA,0
I,0.51,0.385,0.145,0.7665,0
F,0.515,NA,0.135,0.516,NA
M,0.515,0.41,0.14,NA,NA
I,0.515,0.39,0.11,0.531,0
I,0.525,0.385,0.13,0.607,0
NA,0.525,0.415,0.15,NA,0
I,0.525,NA,0.13,0.6445,NA
I,NA,0.375,NA,0.6315,NA
M,0.535,0.43,0.155,NA,NA
NA,0.545,0.44,0.15,NA,0
NA,NA,NA,0.145,NA,NA
I,NA,0.425,NA,0.89,NA
NA,0.55,0.42,0.155,NA,0
NA,NA,NA,0.135,NA,NA
I,NA,0.465,NA,0.936,NA
I,NA,NA,0.145,0.6975,1
F,0.555,NA,0.175,1.1465,NA
I,0.56,0.44,0.14,0.825,0
I,NA,NA,0.135,0.72,1
I,0.565,0.43,0.15,0.8215,1
F,0.57,0.445,0.155,1.017,0
NA,0.575,0.435,0.155,NA,0
NA,0.58,0.44,0.175,NA,0
F,0.58,0.465,0.145,0.9865,1
F,NA,NA,0.15,0.844,0
I,0.585,0.46,0.145,0.8465,0
M,0.585,0.465,0.165,0.885,0
NA,NA,0.42,NA,NA,0
F,0.585,0.455,0.13,0.8755,0
M,0.59,0.47,0.145,0.9235,0
M,0.59,0.475,0.14,0.977,0
M,NA,NA,0.14,1.0305,0
NA,NA,0.48,NA,NA,0
NA,NA,NA,0.185,NA,NA
M,0.6,0.45,0.145,0.877,0
M,0.6,NA,0.185,1.285,NA
M,0.61,0.48,0.185,NA,NA
NA,0.61,0.45,0.13,NA,1
F,0.615,0.46,0.15,1.0265,0
F,0.62,NA,0.14,NA,0
NA,NA,0.48,NA,NA,0
M,0.625,NA,0.14,NA,0
M,0.625,0.49,0.165,1.205,0
M,0.63,NA,0.175,NA,1
F,0.63,0.475,0.155,NA,NA
NA,NA,0.47,NA,NA,1
M,0.63,0.525,0.195,1.3135,0
M,0.64,NA,0.155,1.1955,NA
NA,NA,0.485,NA,NA,0
M,NA,0.495,NA,1.139,NA
F,0.64,NA,0.17,1.2265,NA
M,0.64,0.515,0.08,1.042,0
M,0.65,NA,0.155,1.368,NA
M,0.65,NA,0.175,NA,1
F,0.66,NA,0.19,NA,0
NA,NA,NA,0.2,NA,NA
F,0.675,0.525,0.17,1.711,0
M,0.7,NA,0.205,1.74,NA
F,0.705,0.54,0.205,1.757,0
NA,NA,NA,0.2,NA,NA
NA,NA,NA,0.205,NA,NA
NA,0.725,0.57,0.19,NA,0
I,0.24,0.17,0.05,0.0545,0
